 (1.00000000-0.00000000j)  (-0.99999207-0.00398131j)  (0.33268527+0.94303792j)  (0.92317897-0.38437038j)  (0.97932116-0.20231179j)  (0.80518154+0.59302841j)  (-0.75709022+0.65331033j)  (-0.95629000-0.29241998j)  (0.22298234+0.97482249j)  (-0.65822429+0.75282188j)
 (1.00000000-0.00000000j)  (-0.99999207-0.00398131j)  (0.65522186+0.75543651j)  (-0.22686164+0.97392700j)  (0.95744663-0.28861037j)  (0.75448319+0.65631937j)  (-0.80753619+0.58981803j)  (-0.97850794-0.20620917j)  (-0.92164136-0.38804279j)  (-0.33643716+0.94170592j)
 (1.00000000+0.00000000j)  (-0.99999207+0.00398131j)  (0.33268527-0.94303792j)  (0.92317897+0.38437038j)  (0.97932116+0.20231179j)  (0.80518154-0.59302841j)  (-0.75709022-0.65331033j)  (-0.95629000+0.29241998j)  (0.22298234-0.97482249j)  (-0.65822429-0.75282188j)
 (1.00000000-0.00000000j)  (-0.99999207+0.00398131j)  (0.65522186-0.75543651j)  (-0.22686164-0.97392700j)  (0.95744663+0.28861037j)  (0.75448319-0.65631937j)  (-0.80753619-0.58981803j)  (-0.97850794+0.20620917j)  (-0.92164136+0.38804279j)  (-0.33643716-0.94170592j)
 (1.00000000-0.00000000j)  (-0.99998528-0.00542538j)  (0.55134572+0.83427687j)  (-0.38703894+0.92206337j)  (-0.39203579+0.91994996j)  (0.51382230+0.85789664j)  (0.65302916-0.75733276j)  (-0.83427687+0.55134572j)  (-0.95271905+0.30385260j)  (-0.58778525-0.80901699j)
 (1.00000000+0.00000000j)  (-0.99998528-0.00542538j)  (0.59216583-0.80581613j)  (0.95105652+0.30901699j)  (0.83127333+0.55586388j)  (-0.64891073-0.76086455j)  (-0.51846915+0.85509633j)  (0.38703894+0.92206337j)  (0.38203070+0.92414963j)  (-0.55586388+0.83127333j)
 (1.00000000-0.00000000j)  (-0.99998528+0.00542538j)  (0.55134572-0.83427687j)  (-0.38703894-0.92206337j)  (-0.39203579-0.91994996j)  (0.51382230-0.85789664j)  (0.65302916+0.75733276j)  (-0.83427687-0.55134572j)  (-0.95271905-0.30385260j)  (-0.58778525+0.80901699j)
 (1.00000000-0.00000000j)  (-0.99998528+0.00542538j)  (0.59216583+0.80581613j)  (0.95105652-0.30901699j)  (0.83127333-0.55586388j)  (-0.64891073+0.76086455j)  (-0.51846915-0.85509633j)  (0.38703894-0.92206337j)  (0.38203070-0.92414963j)  (-0.55586388-0.83127333j)
 (1.00000000-0.00000000j)  (-0.99997321-0.00732001j)  (-0.88348105-0.46846690j)  (-0.31597046+0.94876903j)  (-0.80901699-0.58778525j)  (0.06240347+0.99805100j)  (0.55150738-0.83417001j)  (-0.73223474-0.68105234j)  (-0.62291768-0.78228740j)  (0.53615419-0.84412006j)
 (1.00000000+0.00000000j)  (-0.99997321-0.00732001j)  (-0.52996086-0.84802210j)  (0.62862734-0.77770667j)  (0.73720043-0.67567413j)  (-0.54538647-0.83818471j)  (-0.06970755+0.99756747j)  (0.81329791-0.58184749j)  (0.30901699+0.95105652j)  (0.88688656-0.46198725j)
